,level_0,index,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,0,0,adrar,20.5022,-10.0711,102.09,18.0,33.0,8.59,MR,1627844088.0
1,1,1,yellowknife,62.456,-114.3525,85.32,30.0,20.0,3.0,CA,1627843857.0
2,2,3,batticaloa,7.7102,81.6924,81.7,69.0,100.0,3.06,LK,1627844090.0
3,3,4,dikson,73.5069,80.5464,39.36,98.0,97.0,4.52,RU,1627844092.0
4,4,5,cape town,-33.9258,18.4232,58.12,74.0,0.0,1.01,ZA,1627843972.0
5,5,6,hilo,19.7297,-155.09,76.62,89.0,93.0,9.08,US,1627844093.0
6,6,7,ancud,-41.8697,-73.8203,51.33,63.0,68.0,3.98,CL,1627844094.0
7,7,8,richards bay,-28.783,32.0377,63.81,76.0,4.0,4.0,ZA,1627844096.0
8,8,9,rikitea,-23.1203,-134.9692,69.33,59.0,100.0,23.89,PF,1627844098.0
9,9,10,mataura,-46.1927,168.8643,39.47,98.0,64.0,3.74,NZ,1627844099.0
10,10,12,ushuaia,-54.8,-68.3,46.06,61.0,0.0,5.75,AR,1627844105.0
11,11,13,turbat,26.0023,63.044,90.16,60.0,100.0,7.27,PK,1627844106.0
12,12,14,maniitsoq,65.4167,-52.9,49.8,76.0,10.0,7.61,GL,1627843815.0
13,13,15,tarakan,3.3,117.6333,80.58,79.0,100.0,8.61,ID,1627844109.0
14,14,16,barrow,71.2906,-156.7887,44.46,85.0,100.0,18.37,US,1627844109.0
